2026-07-23 23:30:53 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 156.6 m from expected exceeds 100 m radius)
2026-07-23 23:31:41 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:31:48 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 100.6 m from expected exceeds 100 m radius)
2026-07-23 23:34:32 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:36:06 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 123.1 m from expected exceeds 100 m radius)
2026-07-23 23:36:18 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:37:05 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: OK -> FAILED (position 100.3 m from expected exceeds 100 m radius)
2026-07-23 23:39:10 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 9300.3 m from expected exceeds 100 m radius)
2026-07-23 23:40:22 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:40:30 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 181.0 m from expected exceeds 100 m radius)
2026-07-23 23:40:42 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:40:46 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 332.4 m from expected exceeds 100 m radius)
2026-07-23 23:41:38 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 23:42:01 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: OK -> FAILED (position 306.8 m from expected exceeds 100 m radius)
